               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 114,              1.0686,              1.0377,              1.6589,             0.84171,             0.83425,             0.87449,             0.57057,                   0,                   0,                   0,           0.0041429,           0.0041429,           0.0041429
                 115,               1.061,              1.0104,              1.6567,             0.88441,             0.83734,             0.89348,             0.58641,                   0,                   0,                   0,           0.0040911,           0.0040911,           0.0040911
                 116,              1.0656,              1.0245,              1.6525,             0.87292,             0.81516,             0.88035,             0.57945,                   0,                   0,                   0,           0.0040393,           0.0040393,           0.0040393
                 117,              1.0631,              1.0152,              1.6524,             0.82777,             0.86854,             0.88209,             0.56935,                   0,                   0,                   0,           0.0039874,           0.0039874,           0.0039874
                 118,              1.0553,             0.99588,              1.6323,             0.85909,             0.87573,             0.89689,             0.58537,                   0,                   0,                   0,           0.0039356,           0.0039356,           0.0039356
                 119,               1.062,             0.99682,              1.6397,             0.86337,             0.85198,             0.88259,             0.60146,                   0,                   0,                   0,           0.0038838,           0.0038838,           0.0038838
                 120,              1.0311,             0.98522,              1.6207,             0.89761,             0.84337,             0.89176,             0.58887,                   0,                   0,                   0,           0.0038319,           0.0038319,           0.0038319
                 121,              1.0367,             0.98702,              1.6319,             0.89206,             0.85382,             0.89237,             0.57837,                   0,                   0,                   0,           0.0037801,           0.0037801,           0.0037801
                 122,              1.0188,             0.94437,              1.6131,             0.90092,             0.83273,             0.88576,             0.56918,                   0,                   0,                   0,           0.0037283,           0.0037283,           0.0037283
                 123,               1.018,             0.96172,              1.6257,             0.84912,             0.85579,             0.87326,             0.58334,                   0,                   0,                   0,           0.0036764,           0.0036764,           0.0036764
                 124,              1.0187,             0.95239,              1.6209,             0.83913,             0.85618,             0.87773,             0.60008,                   0,                   0,                   0,           0.0036246,           0.0036246,           0.0036246
