                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.84283,                0.77463,                 1.2696,                0.86959,                0.75862,                0.85284,                0.63203,                 1.0744,                0.78517,                 1.5185,              0.0006932,              0.0006932,              0.0006932
                    134,                0.82331,                0.76054,                 1.2517,                0.87454,                0.76946,                 0.8482,                0.61815,                 1.0669,                0.78441,                 1.5097,              0.0006833,              0.0006833,              0.0006833
                    135,                 0.8221,                0.75596,                 1.2572,                0.88769,                0.77246,                0.84406,                0.61497,                 1.0792,                 0.8063,                 1.5288,              0.0006734,              0.0006734,              0.0006734
                    136,                0.83098,                0.76531,                 1.2675,                0.87273,                0.77844,                0.85475,                0.63692,                 1.0485,                 0.7772,                 1.4944,              0.0006635,              0.0006635,              0.0006635
                    137,                0.80289,                 0.7132,                 1.2386,                0.87779,                0.76647,                0.85769,                 0.6275,                 1.0703,                0.79336,                 1.5171,              0.0006536,              0.0006536,              0.0006536
                    138,                0.82101,                0.74699,                  1.258,                0.89162,                0.76356,                0.85919,                0.64114,                 1.0612,                0.76198,                 1.5096,              0.0006437,              0.0006437,              0.0006437
                    139,                0.80313,                0.72666,                 1.2433,                0.88185,                0.76946,                0.85974,                 0.6339,                 1.0524,                 0.7693,                 1.4904,              0.0006338,              0.0006338,              0.0006338
                    140,                0.80638,                0.73543,                 1.2544,                0.91193,                0.74551,                0.84685,                0.62958,                 1.0389,                0.77761,                 1.5227,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.8035,                 0.7218,                 1.2484,                0.90101,                0.76306,                0.84603,                0.63505,                  1.045,                0.79728,                 1.4983,               0.000614,               0.000614,               0.000614
                    142,                0.81331,                0.75366,                 1.2602,                0.90508,                0.75749,                0.85859,                0.63662,                  1.038,                0.77459,                 1.4826,              0.0006041,              0.0006041,              0.0006041
                    143,                0.78975,                0.72528,                 1.2397,                0.88804,                0.76647,                  0.847,                0.62743,                 1.0606,                0.80517,                  1.511,              0.0005942,              0.0005942,              0.0005942
                    144,                0.78382,                0.69592,                 1.2303,                0.86758,                0.77246,                0.84525,                0.62248,                 1.0826,                0.79312,                 1.5286,              0.0005843,              0.0005843,              0.0005843
                    145,                0.77995,                0.72604,                 1.2286,                0.89113,                0.75974,                 0.8496,                 0.6296,                 1.0666,                0.79375,                  1.518,              0.0005744,              0.0005744,              0.0005744
                    146,                0.80319,                0.74353,                 1.2431,                0.86158,                0.78443,                 0.8413,                0.63034,                 1.0673,                0.79985,                 1.5158,              0.0005645,              0.0005645,              0.0005645
                    147,                0.77681,                0.71839,                 1.2204,                0.85693,                 0.7994,                0.84381,                0.62423,                 1.0737,                0.79581,                 1.5191,              0.0005546,              0.0005546,              0.0005546
